file	multicov_No	sample	group	time	type	seq	rep
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxMinus_H3K27me3_Rep01.bam	49	H3K27me3_UI_DoxMinus_1	H3K27me3_UI_DoxMinus	UI	DoxMinus	H3K27me3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxMinus_H3K27me3_Rep02.bam	50	H3K27me3_UI_DoxMinus_2	H3K27me3_UI_DoxMinus	UI	DoxMinus	H3K27me3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxPlus_H3K27me3_Rep01.bam	51	H3K27me3_UI_DoxPlus_1	H3K27me3_UI_DoxPlus	UI	DoxPlus	H3K27me3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxPlus_H3K27me3_Rep02.bam	52	H3K27me3_UI_DoxPlus_2	H3K27me3_UI_DoxPlus	UI	DoxPlus	H3K27me3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxMinus_H3K27me3_Rep01.bam	53	H3K27me3_0h_DoxMinus_1	H3K27me3_0h_DoxMinus	0h	DoxMinus	H3K27me3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxMinus_H3K27me3_Rep02.bam	54	H3K27me3_0h_DoxMinus_2	H3K27me3_0h_DoxMinus	0h	DoxMinus	H3K27me3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxPlus_H3K27me3_Rep01.bam	55	H3K27me3_0h_DoxPlus_1	H3K27me3_0h_DoxPlus	0h	DoxPlus	H3K27me3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxPlus_H3K27me3_Rep02.bam	56	H3K27me3_0h_DoxPlus_2	H3K27me3_0h_DoxPlus	0h	DoxPlus	H3K27me3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxMinus_H3K27me3_Rep01_runMerged.bam	57	H3K27me3_24h_DoxMinus_1	H3K27me3_24h_DoxMinus	24h	DoxMinus	H3K27me3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxMinus_H3K27me3_Rep02_runMerged.bam	58	H3K27me3_24h_DoxMinus_2	H3K27me3_24h_DoxMinus	24h	DoxMinus	H3K27me3	2
